Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
La. Christian,2025-12-01,0,1,3,3,Nicholls St.,.276,.310,.241,.682,54,.470,.603,.160,.792,101
Kentucky,2025-11-28,7,1,1,7,Morgan St.,.580,.725,.379,.769,101,.324,.286,.444,.611,39
Eastern Ill.,2025-11-20,0,3,4,0,Michigan St.,.400,.455,.294,.667,53,.493,.545,.419,.700,101
LSU,2025-11-17,4,0,2,1,Tulane,.551,.582,.429,.613,101,.346,.408,.250,.778,71
Chicago St.,2025-11-12,1,2,1,1,Illinois St.,.284,.471,.091,.478,52,.500,.641,.310,.774,101
Tex. A&M Int'l,2025-11-12,0,0,1,0,Texas Southern,.269,.326,.167,.622,63,.541,.640,.333,.542,101
Ark-Pine Bluff,2025-11-07,1,0,1,0,Arkansas,.288,.283,.308,.583,49,.485,.514,.455,.800,101
Oregon,2026-03-22 NCAA,23,12,32,3,Texas,.412,.500,.263,.550,58,.561,.537,.667,.857,100
Creighton,2026-03-08,16,14,32,0,UConn,.333,.429,.273,.600,51,.571,.542,.636,.750,100
Murray St.,2026-03-07,27,3,0,30,Valparaiso,.434,.512,.333,.767,100,.347,.349,.345,.727,68
Bellarmine,2026-02-27,2,28,23,7,Eastern Ky.,.277,.333,.176,.933,43,.427,.525,.333,.727,100
Oklahoma,2026-02-22,20,6,16,9,Tennessee,.435,.520,.211,.783,100,.455,.541,.345,.697,93
Bellarmine,2026-01-29,2,19,7,12,Queens (NC),.327,.348,.222,.714,48,.486,.556,.442,.765,100
Longwood,2026-01-14,12,4,10,8,Winthrop,.536,.564,.500,.733,100,.479,.538,.316,.714,79
Boston College,2026-01-01,4,11,7,6,Duke,.356,.447,.190,.750,49,.614,.727,.458,.679,100
Le Moyne,2025-12-20,1,9,6,3,Saint Joseph's,.319,.296,.350,.500,40,.567,.786,.410,.667,100
Akron,2025-12-16,1,8,0,0,Geneva,.410,.614,.147,.861,100,.338,.343,.333,.417,65
Concord,2025-12-15,0,0,6,6,Radford,.321,.375,.238,.818,48,.494,.561,.235,.538,100
