Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
LIU,2025-12-09,4,4,6,3,Xavier,.302,.256,.400,.550,57,.377,.500,.258,.526,64
East Carolina,2025-12-07,4,5,3,4,Elon,.429,.600,.158,.679,64,.350,.471,.192,.545,53
Eastern Ill.,2025-12-07,1,7,4,5,Illinois St.,.315,.289,.375,1.000,46,.353,.435,.182,.750,64
Army,2025-12-06,6,2,7,0,Massachusetts,.417,.476,.370,.824,64,.433,.489,.267,.714,61
High Point,2025-12-05,8,1,2,7,South Carolina St.,.490,.618,.200,.565,64,.367,.385,.300,.714,44
Bucknell,2025-12-05,3,5,6,3,Vermont,.375,.375,.375,.789,48,.519,.600,.353,.800,64
Alabama A&M,2025-12-04,1,6,0,0,Tuskegee,.415,.444,.250,.692,64,.359,.321,.455,.846,44
Loyola (MD),2025-12-04,1,7,4,4,Towson,.338,.370,.182,.857,64,.328,.316,.346,.706,63
Kentucky,2025-12-03,8,1,5,2,Miami (FL),.436,.543,.250,.647,64,.320,.438,.111,.824,48
South Carolina St.,2025-12-03,2,6,2,5,UNCA,.344,.357,.318,.538,58,.407,.469,.318,.481,64
Davidson,2025-11-30,4,3,3,2,Ohio,.316,.500,.216,.870,64,.375,.333,.417,.684,59
Detroit Mercy,2025-11-30,1,4,3,3,Eastern Mich.,.415,.500,.200,.571,55,.439,.538,.222,.625,64
FIU,2025-11-30,2,3,3,4,Seattle,.329,.375,.227,.765,64,.382,.533,.200,.857,59
Holy Cross,2025-11-30,2,4,2,5,New Hampshire,.429,.479,.267,.667,64,.310,.400,.174,.625,45
Cal Lutheran,2025-11-29,0,0,0,5,UC Riverside,.315,.333,.278,.727,47,.373,.556,.087,.643,64
Tennessee St.,2025-11-29,1,5,1,4,William & Mary,.396,.472,.167,.520,53,.356,.452,.118,.833,64
Fresno St.,2025-11-28,3,3,1,4,New Mexico St.,.439,.462,.389,.700,64,.379,.396,.300,.333,49
Ill.-Chicago,2025-11-28,3,3,1,4,Maine,.436,.438,.429,.684,64,.345,.485,.136,.765,54
BYU,2025-11-27,6,0,5,1,Virginia Tech,.400,.395,.417,.652,64,.348,.400,.238,.692,60
Elon,2025-11-27,2,3,2,3,Tulane,.349,.344,.355,.600,61,.421,.579,.105,.737,64
Eastern Mich.,2025-11-26,2,3,4,1,Robert Morris,.357,.421,.222,.909,64,.327,.421,.118,.696,54
Alcorn St.,2025-11-25,2,4,4,2,Providence,.295,.333,.250,.667,33,.386,.419,.346,.846,64
Akron,2025-11-24,0,5,3,2,Xavier,.295,.367,.226,.824,57,.407,.512,.167,.867,64
Howard,2025-11-23,5,1,1,3,William & Mary,.385,.457,.235,.741,64,.345,.429,.200,.786,53
App. St.,2025-11-22,3,2,2,2,UNCA,.418,.556,.158,.536,64,.283,.344,.190,.545,40
Chattanooga,2025-11-22,2,4,1,4,Northern Ky.,.397,.432,.333,.733,64,.455,.538,.333,.762,62
Iowa,2025-11-22,5,0,4,0,Miami (FL),.435,.585,.143,.700,64,.386,.474,.211,.722,61
UT Martin,2025-11-22,1,3,3,0,UTEP,.387,.455,.222,.800,60,.329,.419,.185,.722,64
Colorado St.,2025-11-21,4,0,4,0,Oregon St.,.403,.477,.222,.909,64,.417,.387,.471,.714,58
Mercyhurst,2025-11-20,0,3,3,1,Youngstown St.,.333,.348,.318,.684,50,.457,.520,.381,.778,64
Buffalo,2025-11-19,1,3,4,0,St. Bonaventure,.361,.439,.200,.750,57,.442,.529,.278,.867,64
Duquesne,2025-11-18,4,0,3,0,Robert Morris,.417,.500,.188,.643,62,.389,.387,.391,.765,64
Idaho St.,2025-11-16,3,0,4,0,South Dakota,.345,.347,.333,.625,63,.323,.300,.364,.762,64
Albany (NY),2025-11-15,2,1,3,1,Rhode Island,.438,.412,.500,1.000,52,.460,.531,.333,.667,64
Illinois,2025-11-14,2,0,2,0,Oregon St.,.339,.300,.421,.688,59,.521,.553,.400,.833,64
Texas St.,2025-11-13,0,2,0,2,UTSA,.258,.286,.154,.583,41,.489,.500,.444,.636,64
Alabama St.,2025-11-13,1,2,1,1,West Ga.,.366,.418,.188,.462,61,.281,.325,.208,.657,64
East Tenn. St.,2025-11-12,0,2,1,1,Kennesaw St.,.385,.400,.353,.708,63,.471,.488,.400,.750,64
UTA,2025-11-11,0,2,1,1,Wyoming,.490,.417,.667,.667,64,.333,.390,.154,.667,44
Auburn,2025-11-10,2,0,0,2,UNCG,.457,.478,.435,.667,64,.391,.348,.435,.611,57
Denver,2025-11-09,0,2,0,1,Loyola Marymount,.389,.432,.294,.769,57,.414,.429,.375,.714,64
Northwestern,2025-11-09,1,0,2,0,SIU Edwardsville,.418,.429,.333,.696,64,.292,.306,.276,.417,51
Loyola (MD),2025-11-09,0,2,1,0,Virginia Tech,.339,.360,.167,.692,48,.396,.447,.267,.667,64
Bryant,2025-11-07,1,0,0,0,Cornell,.434,.472,.353,.632,64,.260,.250,.278,.538,38
Little Rock,2025-11-07,1,0,0,1,Memphis,.386,.408,.250,.640,62,.409,.442,.286,.375,64
Albany (NY),2025-11-07,1,0,1,0,Syracuse,.410,.522,.250,.643,45,.429,.478,.200,.636,64
Alabama,2025-11-06,1,0,1,0,McNeese,.488,.636,.316,.783,64,.297,.333,.100,.625,44
Quinnipiac,2025-11-06,1,0,1,0,Rutgers,.377,.379,.375,.429,55,.417,.471,.286,.541,64
UNLV,2025-11-05,0,0,0,1,Washington St.,.333,.370,.182,.828,64,.375,.472,.200,.833,51
San Francisco,2025-11-05,0,0,0,1,UNCG,.439,.488,.286,.833,64,.182,.143,.226,.900,40
Loyola Marymount,2025-11-05,0,0,1,0,Utah Valley,.440,.500,.333,.667,60,.431,.462,.368,.538,64
NJIT,2025-11-03,0,0,0,0,Sacred Heart,.403,.531,.267,.600,64,.313,.347,.200,.571,51
St. Mary's (TX),2025-11-03,0,0,0,0,UTRGV,.308,.344,.250,.529,46,.383,.457,.280,.733,64
UConn,2026-03-27 NCAA,36,0,28,7,UNC,.400,.489,.200,.700,63,.283,.342,.182,.571,42
Eastern Ky.,2026-03-22,25,8,19,11,Harvard,.237,.325,.053,.556,34,.379,.425,.308,.714,63
Bradley,2026-03-19,20,12,15,17,George Washington,.392,.423,.360,.733,60,.362,.419,.200,.900,63
Harvard,2026-03-14,18,10,25,3,Princeton,.389,.462,.200,.727,53,.489,.583,.111,.818,63
Nicholls St.,2026-03-10,15,15,22,9,Stephen F. Austin,.365,.383,.313,.643,60,.400,.485,.273,.722,63
MVSU,2026-03-09,7,22,2,27,Prairie View,.267,.250,.316,.773,63,.281,.333,.182,.818,49
Iona,2026-03-08,20,11,25,5,Quinnipiac,.434,.500,.333,.818,62,.353,.381,.308,.875,63
North Dakota St.,2026-03-07,27,3,16,15,St. Thomas,.460,.476,.375,.875,63,.447,.469,.400,.600,51
Seton Hall,2026-03-07,18,11,22,10,St. John's (NY),.453,.455,.450,.750,63,.511,.577,.421,.778,61
BYU,2026-03-06,22,10,27,4,TCU,.270,.343,.179,.778,46,.370,.412,.300,.944,63
Clemson,2026-03-05,20,10,19,10,Virginia,.420,.367,.500,.579,63,.328,.381,.211,.462,50
SIU Edwardsville,2026-03-04,15,15,13,16,UT Martin,.381,.484,.281,.667,63,.385,.429,.200,1.000,49
Austin Peay,2026-03-03,16,12,10,19,Lipscomb,.354,.452,.174,.619,63,.404,.444,.360,1.000,56
Ark-Pine Bluff,2026-03-03,12,14,11,17,Jackson St.,.370,.412,.300,.684,59,.426,.520,.318,.762,63
Charlotte,2026-03-03,13,16,26,3,Rice,.386,.444,.167,.769,56,.393,.420,.273,.857,63
Central Mich.,2026-02-28,17,10,13,14,Kent St.,.377,.452,.211,.857,56,.344,.425,.190,.850,63
Nevada,2026-02-28,9,19,20,9,New Mexico,.442,.550,.083,.750,56,.386,.474,.211,.938,63
NW St.,2026-02-28,15,13,5,22,TAMUCC,.400,.360,.433,.667,63,.278,.333,.190,.500,35
Campbell,2026-02-27,17,10,15,12,Towson,.440,.474,.333,.700,55,.375,.303,.478,.714,63
Jackson St.,2026-02-26,9,17,2,24,Prairie View,.362,.348,.417,.667,63,.431,.545,.222,.647,59
Auburn,2026-02-26,14,14,20,8,Kentucky,.386,.435,.182,.833,56,.462,.515,.368,.667,63
Houston Christian,2026-02-26,8,18,17,9,Lamar,.411,.426,.333,.579,60,.359,.413,.222,.542,63
Drexel,2026-02-22,16,8,13,11,William & Mary,.377,.429,.250,.667,63,.369,.341,.429,.500,61
Grand Canyon,2026-02-21,9,17,6,19,Utah St.,.435,.521,.143,.583,63,.354,.382,.286,.833,43
Bucknell,2026-02-21,10,16,17,9,Holy Cross,.378,.464,.235,.429,41,.431,.455,.389,.923,63
Kennesaw St.,2026-02-21,12,13,20,5,Louisiana Tech,.436,.512,.214,.800,59,.339,.371,.296,.813,63
Monmouth,2026-02-20,16,8,13,10,William & Mary,.444,.465,.364,.550,63,.414,.512,.176,.500,58
Binghamton,2026-02-19,17,8,17,9,Bryant,.565,.581,.533,.000,60,.423,.450,.333,.938,63
Saint Mary's,2026-02-19,15,12,20,7,Santa Clara,.424,.490,.100,.500,55,.333,.387,.289,1.000,63
La Salle,2026-02-18,14,11,23,2,Rhode Island,.462,.476,.400,.846,63,.383,.444,.200,.769,59
Cal Baptist,2026-02-18,17,9,11,12,Utah Valley,.414,.519,.323,.600,61,.458,.500,.357,.700,63
Memphis,2026-02-17,8,16,8,16,Tulane,.400,.550,.100,.471,58,.429,.459,.333,.739,63
Cal Poly,2026-02-14,3,21,16,7,UCSB,.373,.395,.308,.632,54,.404,.500,.321,.706,63
Furman,2026-02-14,15,10,13,12,UNCG,.414,.432,.357,.769,63,.371,.435,.188,.800,61
Cal St Northridge,2026-02-14,8,14,13,10,Hawaii,.386,.436,.278,.625,54,.438,.563,.188,.667,63
Maine,2026-02-14,14,11,15,10,NJIT,.231,.295,.095,.909,42,.421,.441,.391,.667,63
UNCA,2026-02-14,9,16,8,17,USC Upstate,.411,.512,.133,.577,63,.500,.467,.583,.571,57
Sacred Heart,2026-02-14,11,13,7,17,Saint Peter's,.413,.475,.304,1.000,63,.385,.379,.391,.857,61
Loyola (IL),2026-02-14,12,12,16,8,Saint Joseph's,.420,.474,.250,.417,50,.553,.595,.400,.778,63
Minnesota,2026-02-08,17,6,9,14,Rutgers,.344,.375,.286,.682,63,.412,.455,.333,.444,52
Northeastern,2026-02-08,6,14,12,10,Towson,.345,.348,.333,.688,55,.333,.356,.278,.727,63
Boise St.,2026-02-07,18,5,16,7,New Mexico,.442,.515,.316,.786,63,.250,.294,.182,1.000,35
UC Irvine,2026-02-07,18,4,16,5,UCSB,.348,.417,.267,.818,63,.283,.357,.200,.545,41
Cal,2026-02-05,13,10,10,13,Ga Tech,.397,.462,.263,.632,63,.423,.500,.250,.533,56
Iona,2026-02-05,14,9,10,12,Mt. St. Mary's,.397,.439,.294,.688,62,.426,.420,.455,.857,63
Lehigh,2026-02-04,10,10,9,12,Loyola (MD),.432,.500,.375,.889,63,.444,.410,.667,.692,62
Butler,2026-02-01,9,12,10,11,Xavier,.407,.538,.286,.636,59,.491,.541,.375,.625,63
Alabama A&M,2026-01-31,11,9,5,14,Florida A&M,.426,.432,.400,.760,63,.292,.324,.214,.655,50
Army,2026-01-31,16,4,12,8,Holy Cross,.333,.371,.273,.286,48,.500,.531,.444,.500,63
Houston Christian,2026-01-31,5,14,4,15,TAMUCC,.472,.545,.350,.500,63,.354,.464,.200,.571,50
Tarleton St.,2026-01-31,10,9,6,13,Utah Tech,.375,.366,.391,.462,63,.296,.471,.216,.455,45
NJIT,2026-01-31,13,8,18,5,Vermont,.431,.455,.357,.500,61,.458,.489,.357,.571,63
Campbell,2026-01-30,13,8,10,8,William & Mary,.358,.393,.320,.810,63,.375,.419,.294,.929,54
Central Ark.,2026-01-29,11,8,9,10,Fla. Gulf Coast,.328,.394,.240,.571,52,.444,.536,.294,.947,63
Houston Christian,2026-01-29,5,13,11,9,UTRGV,.286,.526,.133,.563,41,.490,.636,.222,.750,63
Central Conn St,2026-01-29,0,19,9,10,Wagner,.302,.357,.091,.917,44,.471,.531,.368,.889,63
American,2026-01-28,5,14,8,11,Loyola (MD),.304,.333,.273,.950,53,.509,.595,.231,.500,63
East Carolina,2026-01-27,15,6,4,16,Wichita St.,.380,.424,.294,.611,54,.390,.429,.200,.625,63
Liberty,2026-01-23,9,8,10,9,Middle Tenn.,.354,.360,.348,.706,54,.435,.478,.391,.667,63
Northeastern,2026-01-23,6,10,8,8,William & Mary,.396,.455,.267,.533,50,.426,.500,.300,.733,63
Morehead St.,2026-01-22,10,9,15,2,Western Ill.,.333,.351,.304,.889,63,.408,.455,.313,.667,53
North Ala.,2026-01-22,8,9,7,10,Queens (NC),.423,.441,.389,.750,63,.354,.383,.278,.643,60
SIU Edwardsville,2026-01-22,8,10,3,14,Tennessee St.,.400,.412,.385,.833,63,.273,.297,.222,.700,41
App. St.,2026-01-21,8,9,7,10,Texas St.,.404,.559,.111,.556,49,.407,.429,.333,.833,63
George Washington,2026-01-21,10,10,6,13,VCU,.438,.548,.235,.737,60,.464,.455,.500,1.000,63
Nebraska,2026-01-21,14,4,12,7,Wisconsin,.371,.472,.231,.615,60,.455,.514,.333,.778,63
Utah St.,2026-01-21,6,11,5,12,Wyoming,.339,.417,.217,.750,51,.531,.710,.222,.875,63
Iona,2026-01-19,11,7,3,14,Saint Peter's,.345,.389,.263,.824,57,.435,.400,.500,.833,63
Ill.-Chicago,2026-01-18,8,9,4,12,Southern Ill.,.413,.491,.000,.750,58,.500,.520,.250,.800,63
Ark-Pine Bluff,2026-01-17,5,10,4,11,Florida A&M,.400,.364,.455,.450,63,.375,.415,.267,.778,53
American,2026-01-17,4,12,13,3,Army,.392,.517,.227,1.000,56,.407,.548,.217,.560,63
Coastal Caro.,2026-01-17,8,10,9,7,South Ala.,.339,.364,.304,.667,63,.368,.421,.263,.667,59
Georgetown,2026-01-17,10,7,11,6,Marquette,.453,.500,.333,.667,63,.316,.389,.190,.824,54
Mercyhurst,2026-01-17,3,13,6,10,Stonehill,.491,.571,.333,.385,63,.439,.513,.278,1.000,58
Missouri St.,2026-01-17,12,5,6,11,New Mexico St.,.357,.404,.111,.714,56,.481,.512,.333,.833,63
Albany (NY),2026-01-15,11,5,11,5,Binghamton,.388,.367,.421,.789,61,.439,.559,.261,.700,63
Chicago St.,2026-01-15,2,15,4,11,New Haven,.488,.536,.400,.615,56,.357,.382,.318,.727,63
Fla. Gulf Coast,2026-01-15,8,7,10,5,West Ga.,.333,.429,.167,.800,56,.429,.409,.444,.692,63
Cincinnati,2026-01-14,6,11,9,7,UCF,.321,.351,.250,.781,63,.333,.386,.100,.786,59
Fairfield,2026-01-14,12,3,6,10,Marist,.389,.400,.375,.800,63,.367,.387,.333,.636,49
Milwaukee,2026-01-14,6,12,8,11,Northern Ky.,.364,.429,.296,.875,55,.279,.342,.174,.833,63
Kentucky,2026-01-11,15,2,14,2,Oklahoma,.338,.447,.185,.700,63,.358,.458,.105,.778,57
Minnesota,2026-01-11,11,4,10,5,USC,.369,.404,.278,.588,63,.440,.421,.452,.800,62
Colorado,2026-01-11,11,5,13,4,Oklahoma St.,.444,.512,.231,1.000,56,.377,.375,.381,.938,63
Fla. Gulf Coast,2026-01-10,7,7,5,9,Lipscomb,.424,.513,.250,.667,63,.381,.464,.214,.875,42
Jacksonville St.,2026-01-10,8,7,10,5,Missouri St.,.296,.378,.118,.591,47,.436,.468,.250,.765,63
Charleston So.,2026-01-10,4,12,9,8,Winthrop,.339,.387,.280,.692,54,.396,.400,.375,.750,63
Md.-East. Shore,2026-01-08,8,10,6,10,Norfolk St.,.315,.356,.143,.789,63,.317,.333,.278,.773,60
Butler,2026-01-07,7,8,8,6,Georgetown,.317,.304,.333,.875,46,.375,.421,.278,.800,63
Cal Poly,2026-01-03,2,11,1,11,Long Beach State,.407,.488,.154,.944,63,.298,.217,.375,.667,49
Charleston So.,2026-01-03,3,11,9,7,Radford,.396,.440,.357,.846,63,.393,.488,.200,.636,59
Lafayette,2026-01-03,4,8,5,7,Loyola (MD),.462,.464,.458,1.000,63,.378,.462,.263,.619,52
Miami (OH),2026-01-03,9,4,6,5,Toledo,.469,.469,.471,.750,63,.396,.433,.333,.846,55
Hampton,2026-01-02,6,6,5,8,Stony Brook,.441,.487,.350,.571,63,.305,.366,.167,.833,54
IU Indy,2026-01-02,5,8,4,11,Northern Ky.,.286,.412,.000,.727,44,.434,.613,.182,.591,63
Colgate,2025-12-31,4,7,4,7,Lafayette,.333,.378,.261,.895,63,.370,.419,.304,.625,57
Houston Christian,2025-12-31,4,6,8,4,McNeese,.325,.500,.182,.867,43,.448,.511,.231,.889,63
Oregon St.,2025-12-30,9,5,9,5,Saint Mary's,.396,.433,.333,.792,63,.397,.444,.231,.571,57
Morgan St.,2025-12-30,1,14,6,5,Towson,.387,.423,.200,.786,61,.370,.500,.250,.667,63
Columbia,2025-12-29,8,4,4,6,Fla. Gulf Coast,.362,.390,.321,.667,63,.362,.552,.056,.818,44
Nicholls St.,2025-12-29,5,4,1,8,TAMUCC,.276,.368,.100,.784,63,.320,.286,.400,.613,57
Coppin St.,2025-12-28,2,12,8,5,George Washington,.264,.250,.308,.586,49,.388,.412,.333,.952,63
Portland,2025-12-28,6,6,9,4,Saint Mary's,.429,.441,.409,.600,63,.397,.457,.235,.556,59
Arizona,2025-12-22,9,2,9,3,Utah,.373,.346,.571,.875,62,.394,.467,.238,.500,63
Fresno St.,2025-12-17,6,5,6,3,San Diego St.,.288,.289,.286,.750,53,.420,.424,.412,.778,63
Austin Peay,2025-12-14,4,2,2,7,Evansville,.339,.357,.294,.643,63,.291,.321,.259,.783,57
La Salle,2025-12-14,6,3,6,6,Md.-East. Shore,.356,.366,.333,.833,63,.356,.409,.200,.591,58
Maine,2025-12-14,3,8,5,3,Quinnipiac,.453,.500,.368,.727,63,.355,.367,.308,.778,55
San Diego,2025-12-14,4,7,2,6,UC Riverside,.442,.421,.500,.769,63,.295,.323,.267,.923,56
Sacred Heart,2025-12-14,2,6,8,3,Vermont,.348,.364,.308,.833,46,.453,.439,.500,.818,63
Texas A&M,2025-12-14,6,1,9,2,West Virginia,.341,.400,.214,.632,45,.414,.410,.421,.538,63
SFU,2025-12-14,0,8,7,3,Xavier,.385,.419,.333,1.000,51,.391,.442,.286,.700,63
Houston,2025-12-13,5,4,7,3,New Mexico,.228,.231,.222,.524,41,.382,.422,.304,.333,63
Providence,2025-12-13,6,5,3,4,Stonehill,.382,.429,.231,.667,63,.268,.281,.250,.750,51
Hofstra,2025-12-13,2,6,9,2,St. John's (NY),.367,.378,.333,.786,60,.354,.409,.308,.875,63
East Tenn. St.,2025-12-11,3,7,3,6,UNCA,.263,.256,.278,.737,63,.404,.436,.308,.700,53
Delaware,2025-12-10,5,2,5,5,George Washington,.408,.455,.313,.636,59,.393,.444,.300,.619,63
New Haven,2025-12-08,2,6,3,7,Yale,.283,.325,.200,.524,49,.448,.553,.250,.750,63
Lipscomb,2025-12-07,2,6,1,6,Tennessee St.,.362,.457,.217,.615,63,.328,.354,.231,.600,55
Howard,2025-12-07,7,3,6,3,Old Dominion,.411,.419,.385,.500,59,.407,.391,.500,.714,63
Cal Poly,2025-12-06,2,5,1,6,UC Riverside,.286,.241,.350,.733,46,.436,.593,.286,.700,63
McNeese,2025-12-06,5,3,4,5,Nevada,.443,.478,.333,.500,63,.340,.432,.125,.333,42
N.C. A&T,2025-12-06,3,4,3,6,Norfolk St.,.405,.464,.286,.706,50,.371,.452,.250,.800,63
Loyola Marymount,2025-12-05,3,3,3,3,Utah St.,.429,.467,.273,.500,63,.465,.600,.278,.684,58
Lipscomb,2025-12-04,2,5,2,4,UT Martin,.368,.407,.333,.615,60,.429,.500,.267,.708,63
Binghamton,2025-12-03,3,3,3,5,San Diego,.481,.559,.333,.538,63,.339,.425,.125,.882,55
Arizona,2025-12-03,6,0,1,5,Southern U.,.412,.474,.231,.706,57,.439,.500,.294,.800,63
App. St.,2025-12-01,5,2,2,7,Gardner-Webb,.489,.500,.476,.474,63,.352,.452,.217,.667,53
Cincinnati,2025-11-29,3,4,6,2,New Mexico,.381,.447,.188,.750,63,.313,.289,.364,.714,60
FDU,2025-11-29,4,3,2,3,Monmouth,.444,.448,.440,.500,63,.435,.488,.000,.714,50
Marist,2025-11-29,2,5,4,3,Miami (OH),.213,.200,.227,1.000,37,.414,.500,.353,.500,63
Santa Clara,2025-11-29,6,2,5,2,Vermont,.288,.341,.200,.533,51,.448,.550,.222,.636,63
Alabama,2025-11-26,6,0,5,1,Minnesota,.386,.355,.423,.889,63,.343,.340,.353,.667,58
American,2025-11-26,1,4,0,6,Yale,.322,.429,.167,.667,54,.366,.322,.583,1.000,63
Holy Cross,2025-11-25,2,3,5,0,Massachusetts,.286,.545,.074,.833,40,.407,.500,.188,.727,63
Iona,2025-11-24,2,2,1,4,Wagner,.333,.314,.385,.703,63,.357,.415,.200,.560,57
St. Thomas,2025-11-22,1,4,3,2,UC Irvine,.404,.452,.333,.857,55,.404,.432,.333,.941,63
Pitt,2025-11-22,3,2,4,0,Robert Morris,.355,.380,.250,.667,63,.375,.412,.318,1.000,54
Army,2025-11-20,3,1,2,3,New Hampshire,.500,.529,.438,.857,63,.340,.294,.462,1.000,44
Kansas,2025-11-19,4,0,4,0,Minnesota,.477,.519,.412,.824,63,.344,.415,.217,.800,57
Pitt,2025-11-16,2,1,0,0,Scranton,.441,.500,.267,.700,63,.409,.447,.357,.556,69
BYU,2025-11-15,3,0,3,0,Fresno St.,.414,.514,.261,.500,63,.302,.325,.231,.615,43
Middle Tenn.,2025-11-11,2,0,2,0,Tennessee Tech,.420,.500,.278,.583,54,.436,.472,.368,.800,63
Delaware St.,2025-11-10,1,1,1,0,Penn,.254,.240,.333,.889,41,.442,.500,.286,.813,63
Cal St Northridge,2025-11-08,1,0,1,1,San Diego,.359,.359,.360,.889,63,.304,.350,.188,.524,48
Maine,2025-11-07,0,0,1,0,Saint Joseph's,.348,.375,.308,.500,62,.434,.459,.375,.647,63
Coastal Caro.,2025-11-03,0,0,0,0,Miami (OH),.291,.346,.241,.609,53,.373,.455,.324,.700,63
North Dakota St.,2025-11-03,0,0,0,0,UNI,.339,.419,.250,.727,63,.308,.302,.333,.519,49
Fla. Gulf Coast,2026-03-23,16,15,15,17,Loyola (IL),.396,.516,.227,.600,56,.370,.467,.250,.800,62
Kansas,2026-03-22,20,13,29,5,Rice,.375,.361,.417,.700,62,.311,.419,.200,.917,55
TCU,2026-03-22 NCAA,30,5,22,10,Washington,.433,.537,.211,.667,62,.355,.378,.320,.700,59
Ohio,2026-03-19,18,13,16,14,UMBC,.339,.407,.276,.545,58,.303,.357,.208,.548,62
Portland,2026-03-19,18,14,18,12,Sam Houston,.455,.714,.185,.636,62,.358,.387,.000,.647,59
Oregon St.,2026-03-19,23,11,13,17,Wisconsin,.404,.447,.316,.750,58,.491,.611,.263,1.000,62
South Fla.,2026-03-12,20,11,15,15,UTSA,.339,.383,.200,.600,51,.444,.478,.250,.667,62
Idaho St.,2026-03-09,19,10,14,17,Sacramento St.,.345,.409,.143,.688,53,.389,.400,.375,.846,62
Boise St.,2026-03-08,24,8,22,9,New Mexico,.393,.474,.261,.667,62,.368,.449,.158,.500,61
Seton Hall,2026-03-08,19,11,24,6,Villanova,.327,.389,.188,.579,48,.393,.576,.179,1.000,62
TCU,2026-03-08,29,4,26,6,West Virginia,.333,.414,.258,.833,53,.400,.425,.333,.867,62
Hofstra,2026-03-07,7,21,7,20,Northeastern,.431,.379,.500,.875,62,.333,.429,.176,.813,46
Merrimack,2026-03-07,18,11,15,14,Mt. St. Mary's,.348,.425,.231,.556,62,.284,.405,.133,.462,48
Baylor,2026-03-06,24,7,21,10,Colorado,.306,.390,.143,.571,53,.440,.459,.385,.619,62
Butler,2026-03-06,12,18,13,16,Georgetown,.422,.385,.474,.786,58,.368,.467,.174,.800,62
Dayton,2026-03-05,16,13,15,16,George Washington,.457,.615,.250,.600,62,.339,.375,.250,.667,54
East Tenn. St.,2026-03-05,17,12,14,15,UNCG,.356,.270,.500,.600,62,.350,.378,.304,.250,50
Ga Tech,2026-03-05,14,17,22,8,Virginia Tech,.370,.421,.250,.769,54,.362,.383,.318,.714,62
American,2026-03-04,6,22,15,12,Lehigh,.460,.531,.333,.714,62,.404,.516,.238,.813,60
Eastern Mich.,2026-03-04,12,15,15,12,Ohio,.329,.432,.154,.800,54,.328,.462,.237,.611,62
Butler,2026-03-01,11,18,18,10,Seton Hall,.469,.625,.320,.889,62,.359,.421,.269,.286,55
Elon,2026-03-01,14,13,16,12,Stony Brook,.500,.742,.000,.923,58,.432,.500,.385,.737,62
Harvard,2026-02-28,16,9,22,3,Princeton,.298,.333,.259,.615,49,.471,.550,.182,.667,62
Robert Morris,2026-02-28,17,11,10,20,Wright St.,.446,.487,.353,.667,62,.314,.176,.588,.571,50
Tulane,2026-02-28,10,17,7,21,Wichita St.,.471,.585,.000,.667,62,.340,.458,.231,.737,54
Brown,2026-02-27,15,8,8,16,Cornell,.380,.435,.333,.750,62,.327,.364,.263,.727,47
Central Ark.,2026-02-25,18,10,15,12,North Ala.,.354,.421,.259,.600,62,.348,.371,.273,.800,55
App. St.,2026-02-25,11,16,21,6,Ga. Southern,.375,.400,.250,.625,48,.460,.484,.421,.889,62
Iowa,2026-02-22,21,5,22,4,Michigan,.482,.561,.267,.667,62,.305,.302,.313,1.000,44
Ga Tech,2026-02-22,12,15,20,8,Virginia Tech,.288,.310,.200,.864,51,.284,.306,.222,.769,62
Alabama St.,2026-02-21,13,12,7,18,Florida A&M,.391,.420,.286,.500,62,.357,.378,.273,.593,59
Colorado St.,2026-02-21,20,7,9,16,Wyoming,.500,.615,.154,.727,62,.321,.343,.286,.600,48
North Florida,2026-02-21,8,18,9,17,Queens (NC),.455,.595,.167,.529,62,.323,.378,.200,.500,51
UTSA,2026-02-21,12,12,5,21,Wichita St.,.379,.444,.273,.846,61,.458,.533,.333,.600,62
Cal St Bakersfield,2026-02-19,7,17,8,17,UC Riverside,.339,.375,.263,.684,58,.390,.462,.250,.733,62
Fairfield,2026-02-19,22,4,7,18,Saint Peter's,.412,.500,.355,.692,62,.293,.370,.143,.500,30
Delaware,2026-02-19,12,13,15,9,FIU,.313,.500,.125,.429,36,.333,.345,.286,.706,62
Lamar,2026-02-19,15,9,12,12,Nicholls St.,.322,.325,.316,.783,62,.277,.357,.130,.765,52
Merrimack,2026-02-19,15,10,12,13,Sacred Heart,.370,.455,.238,.773,62,.440,.529,.250,.692,57
New Haven,2026-02-19,7,17,9,15,Stonehill,.382,.400,.333,.846,58,.472,.528,.353,.750,62
Georgetown,2026-02-18,12,13,20,8,St. John's (NY),.460,.517,.381,1.000,62,.451,.514,.313,.643,60
SE Missouri St,2026-02-17,8,17,13,12,UT Martin,.386,.351,.450,.563,62,.321,.289,.400,.706,52
Gardner-Webb,2026-02-14,9,16,3,21,Presbyterian,.477,.586,.267,.800,62,.441,.500,.333,.800,50
Arkansas St.,2026-02-14,20,6,21,6,Marshall,.257,.500,.140,1.000,54,.426,.556,.250,.850,62
NW St.,2026-02-14,11,12,4,19,Southeastern LA,.440,.600,.333,.727,62,.333,.357,.308,.750,47
SIU Edwardsville,2026-02-14,11,14,13,11,UT Martin,.390,.432,.318,.818,62,.408,.429,.357,.700,52
Fla. Gulf Coast,2026-02-14,12,12,15,9,Stetson,.347,.333,.364,.588,52,.367,.643,.125,.700,62
